Detailed activity log for 2025-09-06

          id     timestamp  category  duration                                                                                                                                                                                                                                                              window_title  synced        source  local_date
41     37425  1.757156e+09    coding         9                                                                                                                                                                                               add_local_date_column.py - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
42     37426  1.757156e+09  learning         6                                                                                                                                                                                                                                                                   warning       1  RCR-PF3LV9TF  2025-09-06
43     37427  1.757156e+09    coding        11                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
44     37428  1.757156e+09    coding         6                                                                                                                                                                                               track your time - don't waste it! and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
45     37429  1.757156e+09    coding        15                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
46     37430  1.757156e+09    coding         8                                                                                                                                                                                                       requirements.txt - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
47     37431  1.757156e+09    coding        69                                                                                                                                                                                                       requirements.txt - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
48     56071  1.757154e+09  learning        46                                                                                                                                                                                                                                                                   warning       1  RCR-PF3LV9TF  2025-09-06
49     56072  1.757154e+09    wasted        19                                                                                                                                                                                                                        new tab and 16 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
50     56073  1.757154e+09    family         2                                                                                                                                                                                                                  usta - search and 16 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
51     56074  1.757154e+09    family         5                                                                                                                                                                          usta: find a tennis tournament & play tennis near you and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
52     56075  1.757154e+09    coding        14                                                                                                                                                                                                                        sign in and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
53     56076  1.757154e+09    family         6                                                                                                                                                                          usta: find a tennis tournament & play tennis near you and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
54     56077  1.757154e+09    coding         3                                                                                                                                                                                                                         family and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
55     56078  1.757154e+09      idle         0                                                                                                                                                                                                                                                            Computer Sleep       1  RCR-PF3LV9TF  2025-09-06
56     56079  1.757154e+09    family        15                                                                                                                                                               family account management | link & manage player profiles | usta and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
57     56080  1.757154e+09    coding        11                                                                                                                                                                                              track your time - don't waste it! and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
58     56081  1.757155e+09    coding        25                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
59     56082  1.757155e+09    coding         2                                                                                                                                                                                              track your time - don't waste it! and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
60     56083  1.757156e+09      idle         0                                                                                                                                                                                                                                                            Computer Sleep       1  RCR-PF3LV9TF  2025-09-06
61     56084  1.757156e+09    coding        12                                                                                                                                                                                                                  extension: comment translate - ocrt - visual studio code       1  RCR-PF3LV9TF  2025-09-06
62     56085  1.757156e+09    coding        15                                                                                                                                                                                                                                  outlook (pwa) - mail - cen rao - outlook       1  RCR-PF3LV9TF  2025-09-06
63     56086  1.757156e+09    coding         5                                                                                                                                                                                                          c:\projects\ocrt-master 16.3.1202.0\windebug.x64 - file explorer       1  RCR-PF3LV9TF  2025-09-06
64     56087  1.757156e+09    coding         3                                                                                                                                                                                                                              2025-09-05 - crlog_laptop - obsidian v1.9.12       1  RCR-PF3LV9TF  2025-09-06
65     56088  1.757156e+09    coding         4                                                                                                                                                                                               track your time - don't waste it! and 2 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
66     56089  1.757156e+09    coding         7                                                                                                                                                                                               add_local_date_column.py - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
67     56090  1.757156e+09    coding        28                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
68     56091  1.757156e+09    coding         9                                                                                                                                                                                               add_local_date_column.py - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
69     56092  1.757156e+09  learning         6                                                                                                                                                                                                                                                                   warning       1  RCR-PF3LV9TF  2025-09-06
70     56093  1.757156e+09    coding        11                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
71     56094  1.757156e+09    coding         6                                                                                                                                                                                               track your time - don't waste it! and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
72     56095  1.757156e+09    coding        15                                                                                                                                                                                                                                                  command prompt - run.bat       1  RCR-PF3LV9TF  2025-09-06
73     56096  1.757156e+09    coding         8                                                                                                                                                                                                       requirements.txt - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
74     56097  1.757156e+09    coding        69                                                                                                                                                                                                       requirements.txt - window_recorder (workspace) - visual studio code       1  RCR-PF3LV9TF  2025-09-06
75     56098  1.757156e+09    gaming         8  amazon.com: kirecoo stainless steel stock pot - 8 quart heavy duty induction cooking pot with visible lid for pasta soup spaghetti nonstick thick bottom big stockpot deep cookware for canning boiling simmer: home & kitchen and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
76     56099  1.757156e+09      idle         0                                                                                                                                                                                                                                                            Computer Sleep       1  RCR-PF3LV9TF  2025-09-06
77     56100  1.757156e+09  learning         2                                                                                                                                                                                                                                                                   warning       1  RCR-PF3LV9TF  2025-09-06
78     56101  1.757157e+09    coding        33                                                                                                                                                                                               track your time - don't waste it! and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
79     56102  1.757157e+09    gaming         9  amazon.com: kirecoo stainless steel stock pot - 8 quart heavy duty induction cooking pot with visible lid for pasta soup spaghetti nonstick thick bottom big stockpot deep cookware for canning boiling simmer: home & kitchen and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
80     56103  1.757157e+09    gaming        58                                                                                                                                                                                                          amazon.com : stockpots and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
81     56104  1.757157e+09    wasted        44                                                                                                                                                                                                          amazon.com : pasta pot and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
82     56105  1.757157e+09    wasted        77                                                                                                 amazon.com: cuisinart 1.5 quart saucepan w/cover chef's classic stainless steel cookware collection 719-16: pot: home & kitchen and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
83     56106  1.757157e+09    wasted        39                                                                                                                                                                                                                      amazon.com and 3 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
84     56107  1.757136e+09    coding         3                                                                                                                                                                                                                   my home page and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
85     56108  1.757136e+09    coding        90                                                                                                                                                                                                                    punch entry and 17 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
86     56109  1.757136e+09    coding        33                                                                                                                                                                                chat | ocrt core tech standup | microsoft teams and 15 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
87     56110  1.757136e+09    coding         7                                                                                                                                                                                                                                                            command prompt       1  RCR-PF3LV9TF  2025-09-06
88     56111  1.757136e+09    coding        14                                                                                                                                                                                                                                                            command prompt       1  RCR-PF3LV9TF  2025-09-06
89     56112  1.757136e+09    coding        40                                                                                                                                                                                                                                                            command prompt       1  RCR-PF3LV9TF  2025-09-06
90     56113  1.757136e+09    coding        12                                                                                                                                                                                                                                      finereader - microsoft visual studio       1  RCR-PF3LV9TF  2025-09-06
91     56114  1.757136e+09    coding        23                                                                                                                                                                                                                finereader - commandlineinfo.cpp - microsoft visual studio       1  RCR-PF3LV9TF  2025-09-06
